user_id,activity_type,hour_of_day,value_metric,timestamp,is_anomaly,risk_score,risk_percentage
user_035,transaction,18.65,789.96,2025-01-10T03:13:00,False,Safe,8
user_020,api_call,17.6,739.89,2025-01-10T05:55:00,False,Safe,5
user_026,file_access,17.98,902.4,2025-01-10T06:26:00,False,Safe,16
user_048,api_call,17.89,7650.77,2025-01-10T06:50:00,True,Critical,80
user_043,api_call,16.92,448.33,2025-01-10T10:02:00,False,Safe,8
user_020,payment,10.18,1069.02,2025-01-10T14:11:00,False,Safe,5
user_008,file_access,11.28,410.19,2025-01-10T19:59:00,False,Safe,3
user_047,api_call,15.89,454.45,2025-01-10T23:37:00,False,Safe,6
user_013,payment,14.14,427.13,2025-01-10T23:53:00,False,Safe,13
user_014,payment,18.9,618.64,2025-01-11T01:09:00,False,Safe,24
user_014,data_transfer,8.37,182.87,2025-01-11T05:28:00,False,Safe,3
user_003,payment,19.31,1067.55,2025-01-11T13:58:00,False,Safe,7
user_030,payment,8.21,797.61,2025-01-11T16:13:00,False,Safe,13
user_049,data_transfer,19.3,50.0,2025-01-11T17:57:00,False,Safe,6
user_026,login,14.71,885.76,2025-01-11T20:46:00,False,Safe,21
user_048,data_transfer,23.09,1166.12,2025-01-12T03:06:00,False,Safe,10
user_020,payment,12.79,464.73,2025-01-12T06:40:00,False,Safe,15
user_003,file_access,17.51,714.49,2025-01-12T07:15:00,False,Safe,9
user_023,login,16.02,436.09,2025-01-12T11:06:00,False,Safe,2
user_048,payment,16.2,376.52,2025-01-12T14:50:00,False,Safe,19
user_019,api_call,1.03,745.11,2025-01-13T03:20:00,False,Safe,8
user_010,file_access,11.76,448.12,2025-01-13T04:47:00,False,Safe,12
user_042,data_transfer,15.8,193.47,2025-01-13T14:26:00,False,Safe,10
user_039,payment,13.12,730.2,2025-01-13T17:39:00,False,Safe,13
user_019,data_transfer,13.4,1023.95,2025-01-13T17:46:00,False,Safe,21
user_009,transaction,14.67,505.58,2025-01-13T21:31:00,False,Safe,13
user_049,api_call,1.97,816.79,2025-01-13T23:42:00,False,Safe,14
user_046,file_access,9.94,841.82,2025-01-14T03:06:00,False,Safe,21
user_008,payment,15.04,442.49,2025-01-14T09:23:00,False,Safe,13
user_033,transaction,12.71,230.11,2025-01-14T17:25:00,False,Safe,15
user_049,payment,10.33,740.25,2025-01-15T01:24:00,False,Safe,11
user_044,transaction,10.42,634.39,2025-01-15T03:29:00,False,Safe,21
user_034,data_transfer,16.76,646.32,2025-01-15T03:55:00,False,Safe,7
user_040,data_transfer,5.29,223.62,2025-01-15T13:21:00,False,Safe,21
user_016,data_transfer,9.24,1451.04,2025-01-15T23:39:00,False,Safe,7
user_030,login,13.75,708.53,2025-01-16T00:08:00,False,Safe,21
user_033,api_call,11.57,927.02,2025-01-16T07:36:00,False,Safe,3
user_007,login,7.44,914.59,2025-01-16T11:32:00,False,Safe,23
user_017,api_call,12.3,292.86,2025-01-16T18:34:00,False,Safe,5
user_015,data_transfer,18.94,757.54,2025-01-16T19:11:00,False,Safe,13
user_007,file_access,5.97,496.61,2025-01-16T20:44:00,False,Safe,12
user_026,payment,16.31,1086.98,2025-01-17T00:53:00,False,Safe,6
user_028,login,13.86,759.58,2025-01-17T07:48:00,False,Safe,16
user_049,login,6.12,743.71,2025-01-17T13:06:00,False,Safe,12
user_024,payment,20.74,859.11,2025-01-17T13:35:00,False,Safe,3
user_006,api_call,16.54,477.08,2025-01-17T15:32:00,False,Safe,23
user_022,file_access,16.27,1065.33,2025-01-17T16:55:00,False,Safe,16
user_007,login,17.93,768.79,2025-01-17T23:10:00,False,Safe,13
user_034,transaction,16.17,129.84,2025-01-18T01:48:00,False,Safe,17
user_049,login,16.76,500.68,2025-01-18T05:18:00,False,Safe,3
user_002,payment,13.62,426.24,2025-01-18T08:59:00,False,Safe,8
user_031,file_access,12.16,694.19,2025-01-18T14:04:00,False,Safe,15
user_021,payment,11.95,527.51,2025-01-18T14:10:00,False,Safe,2
user_039,api_call,21.3,777.69,2025-01-18T21:24:00,False,Safe,14
user_019,payment,21.47,403.87,2025-01-18T22:18:00,False,Safe,9
user_018,transaction,7.69,1050.62,2025-01-19T06:55:00,False,Safe,5
user_034,file_access,14.23,1060.0,2025-01-19T07:07:00,False,Safe,22
user_021,transaction,15.5,636.77,2025-01-19T11:08:00,False,Safe,12
user_046,transaction,14.64,11647.04,2025-01-19T13:35:00,True,Critical,89
user_041,file_access,14.35,891.17,2025-01-19T13:44:00,False,Safe,4
user_045,api_call,13.01,372.74,2025-01-19T14:36:00,False,Safe,10
user_049,file_access,16.61,1241.39,2025-01-19T15:07:00,False,Safe,9
user_022,payment,15.57,1426.38,2025-01-19T15:30:00,False,Safe,10
user_049,transaction,10.29,780.27,2025-01-19T20:32:00,False,Safe,3
user_030,login,16.6,1051.98,2025-01-19T22:43:00,False,Safe,5
user_004,file_access,8.4,655.83,2025-01-20T08:39:00,False,Safe,13
user_016,payment,14.23,288.45,2025-01-20T11:20:00,False,Safe,20
user_047,api_call,11.3,3910.29,2025-01-20T11:27:00,True,Critical,96
user_018,transaction,20.36,794.73,2025-01-20T12:17:00,False,Safe,12
user_004,transaction,11.73,273.35,2025-01-20T16:13:00,False,Safe,19
user_004,payment,9.8,775.85,2025-01-20T16:48:00,False,Safe,9
user_022,file_access,17.26,1080.7,2025-01-21T04:40:00,False,Safe,21
user_028,data_transfer,16.65,50.0,2025-01-21T06:10:00,False,Safe,4
user_019,file_access,11.75,567.44,2025-01-21T09:26:00,False,Safe,11
user_048,data_transfer,12.08,8695.64,2025-01-21T14:32:00,True,Critical,86
user_008,file_access,13.61,354.02,2025-01-21T17:48:00,False,Safe,14
user_022,file_access,15.98,524.7,2025-01-21T19:02:00,False,Safe,23
user_048,payment,10.36,282.26,2025-01-21T19:47:00,False,Safe,23
user_028,payment,12.1,537.21,2025-01-21T21:49:00,False,Safe,8
user_042,file_access,6.1,919.13,2025-01-21T22:45:00,False,Safe,12
user_029,login,13.81,784.84,2025-01-22T02:42:00,False,Safe,13
user_039,login,19.78,833.1,2025-01-22T03:18:00,False,Safe,7
user_029,transaction,17.18,682.46,2025-01-22T06:15:00,False,Safe,16
user_043,payment,21.56,333.31,2025-01-22T07:49:00,False,Safe,19
user_044,payment,12.36,805.12,2025-01-22T08:12:00,False,Safe,6
user_007,login,13.6,1115.73,2025-01-22T19:42:00,False,Safe,18
user_029,api_call,13.63,479.78,2025-01-22T23:00:00,False,Safe,3
user_024,file_access,14.15,553.7,2025-01-23T00:07:00,False,Safe,7
user_035,data_transfer,13.24,594.7,2025-01-23T07:12:00,False,Safe,12
user_031,api_call,12.03,490.04,2025-01-23T07:31:00,False,Safe,4
user_010,data_transfer,9.85,14123.48,2025-01-23T11:54:00,True,Critical,93
user_038,payment,14.63,527.57,2025-01-23T12:36:00,False,Safe,21
user_010,data_transfer,12.27,866.84,2025-01-23T13:13:00,False,Safe,18
user_032,data_transfer,15.3,649.24,2025-01-23T13:35:00,False,Safe,12
user_017,data_transfer,2.13,11648.07,2025-01-23T16:27:00,True,Critical,89
user_038,transaction,16.04,968.53,2025-01-23T18:18:00,False,Safe,5
user_002,api_call,12.35,706.18,2025-01-23T22:57:00,False,Safe,23
user_004,transaction,16.02,508.1,2025-01-23T23:21:00,False,Safe,6
user_016,login,17.84,504.34,2025-01-24T01:58:00,False,Safe,17
user_022,transaction,21.48,510.78,2025-01-24T02:04:00,False,Safe,23
user_047,data_transfer,10.93,461.13,2025-01-24T03:51:00,False,Safe,15
user_032,login,9.9,1010.45,2025-01-24T04:31:00,False,Safe,24
user_007,payment,14.07,631.63,2025-01-24T18:48:00,False,Safe,15
user_019,data_transfer,18.92,768.16,2025-01-25T08:40:00,False,Safe,8
user_003,login,14.67,1044.31,2025-01-25T08:57:00,False,Safe,24
user_005,data_transfer,4.97,4068.8,2025-01-25T10:12:00,True,Critical,82
user_043,data_transfer,22.17,901.24,2025-01-25T14:21:00,False,Safe,9
user_036,login,14.51,1120.61,2025-01-26T05:43:00,False,Safe,12
user_016,login,17.83,659.87,2025-01-26T10:52:00,False,Safe,20
user_009,file_access,15.35,948.82,2025-01-26T12:43:00,False,Safe,2
user_008,login,13.74,438.44,2025-01-26T14:18:00,False,Safe,3
user_044,transaction,16.22,666.65,2025-01-26T15:39:00,False,Safe,23
